Gene,Annotation,Median_GSS,PCC
ATP5F1E,Colon Tissue,1.7939453125,0.3336524768984781
ELOB,Colon Tissue,1.7529296875,0.33323957428950585
UQCRC2,Colon Tissue,0.0,0.33311227946508026
SMIM22,Colon Tissue,0.0,0.3329929335916018
ARPC3,Colon Tissue,0.0,0.332816708204871
DIO1,Colon Tissue,0.0,0.3326835477692228
SLC26A3,Colon Tissue,0.0,0.3322541163146507
COX14,Colon Tissue,0.0,0.33223865845241796
CARD19,Colon Tissue,0.0,0.33209342499406874
C3orf85,Colon Tissue,0.0,0.3315303917233165
PPP1CB,Colon Tissue,0.0,0.33120876300600033
GPRC5A,Colon Tissue,0.0,0.33087834168869235
ACSL3,Colon Tissue,0.0,0.33050605100479674
PSENEN,Colon Tissue,0.0,0.3304982530412667
TOR1AIP2,Colon Tissue,0.0,0.33038575535227305
MEA1,Colon Tissue,0.0,0.3301771122645779
CAST,Colon Tissue,0.0,0.3299755012869463
EIF2S2,Colon Tissue,0.0,0.3296577152033004
FUCA1,Colon Tissue,0.0,0.3295134742944311
APH1A,Colon Tissue,0.0,0.3287115700266687
MAX,Colon Tissue,0.0,0.32804990189429084
NADK,Colon Tissue,0.0,0.3277457067076053
ARF1,Colon Tissue,0.0,0.32748425289066535
TMEM59,Colon Tissue,0.0,0.3274084829796001
MPC1,Colon Tissue,0.0,0.3270303343451743
NEURL3,Colon Tissue,0.0,0.32657069487587126
TM9SF2,Colon Tissue,1.7265625,0.3264211525085807
GLTP,Colon Tissue,0.0,0.32621200393839767
CAPZA2,Colon Tissue,0.0,0.3259477340859952
FAM102A,Colon Tissue,0.0,0.3259244505654914
KIAA1191,Colon Tissue,0.0,0.3259001872664304
NDUFA7,Colon Tissue,1.72998046875,0.32565011832253493
MS4A8,Colon Tissue,0.0,0.3255620753022086
SLC16A5,Colon Tissue,0.0,0.32552692248297377
SMPDL3A,Colon Tissue,0.0,0.3253661529430606
GNPNAT1,Colon Tissue,0.0,0.3253449703151434
CIDEB,Colon Tissue,0.0,0.32514115361213836
TRIM31,Colon Tissue,0.0,0.32491646719174205
PACSIN2,Colon Tissue,0.0,0.3248695284407258
TMPRSS4,Colon Tissue,0.0,0.3247661751909314
SCAMP2,Colon Tissue,0.0,0.32428439217960997
ATP5F1C,Colon Tissue,0.0,0.3242283761925595
SNX3,Colon Tissue,0.0,0.32392277029712035
PPDPF,Colon Tissue,0.0,0.323668924261497
IFNGR2,Colon Tissue,0.0,0.32362623632148146
UBE2L5,Colon Tissue,0.0,0.32350781872355583
CPN1,Colon Tissue,0.0,0.3233973617012588
EFNA1,Colon Tissue,0.0,0.3232171417453277
DDX5,Colon Tissue,1.728515625,0.3231687090728535
PGK1,Colon Tissue,0.0,0.3230150508179759
FUCA2,Colon Tissue,0.0,0.32273338631386794
BLNK,Colon Tissue,0.0,0.3226859031901251
UGCG,Colon Tissue,0.0,0.32226932183995066
APRT,Colon Tissue,0.0,0.322087548789309
MRPS21,Colon Tissue,0.0,0.321969821941832
GUCD1,Colon Tissue,0.0,0.3217958223194352
SLC13A2,Colon Tissue,0.0,0.3217640349985229
CYB5B,Colon Tissue,0.0,0.32174748276419374
NUCB1,Colon Tissue,0.0,0.3216674525111898
CHMP2A,Colon Tissue,0.0,0.32130684878605636
ITPRID2,Colon Tissue,0.0,0.32125209354349765
SUMO1,Colon Tissue,0.0,0.3212097034427333
SLC25A24,Colon Tissue,0.0,0.32113707702837135
UBE2D3,Colon Tissue,0.0,0.3209640579710935
GABARAPL2,Colon Tissue,0.0,0.3208822155780152
LITAF,Colon Tissue,0.0,0.3207661853504121
CAPZB,Colon Tissue,0.0,0.3207523989952742
CNNM4,Colon Tissue,0.0,0.32062329335022793
FBXO25,Colon Tissue,0.0,0.3200218434507088
C18orf32,Colon Tissue,0.0,0.31974162244012844
DBI,Colon Tissue,1.77734375,0.31935890026916347
SMIM24,Colon Tissue,1.7666015625,0.31900365047424784
HMGCL,Colon Tissue,0.0,0.31876790628015905
SLC44A1,Colon Tissue,0.0,0.31864128204383746
NDUFB2,Colon Tissue,0.0,0.3185221873446646
FAM3B,Colon Tissue,0.0,0.3181066764118228
CRIPT,Colon Tissue,0.0,0.3180674943292832
SDHB,Colon Tissue,1.7236328125,0.31805010698359154
TAX1BP1,Colon Tissue,0.0,0.31751472601109704
TIMM8B,Colon Tissue,0.0,0.31724756666582243
ZBTB7B,Colon Tissue,0.0,0.3170458147722562
CD63,Colon Tissue,1.7529296875,0.31691524487943784
CDS1,Colon Tissue,0.0,0.316914040625551
ITPK1,Colon Tissue,0.0,0.31675831224780043
C1orf210,Colon Tissue,0.0,0.3166259470040795
SERINC2,Colon Tissue,0.0,0.31633887963218527
NEU1,Colon Tissue,0.0,0.31628550482604134
S100A1,Colon Tissue,0.0,0.31615179063230414
RER1,Colon Tissue,0.0,0.3161508751063194
CALM3,Colon Tissue,0.0,0.31588550812988314
PPFIA3,Colon Tissue,0.0,0.3156273394553916
RAB1A,Colon Tissue,0.0,0.31504024258413327
NDUFA11,Colon Tissue,1.720703125,0.31424580538660696
STAP2,Colon Tissue,0.0,0.31412504988704104
ARHGDIA,Colon Tissue,0.0,0.31411176602656365
GLRX,Colon Tissue,0.0,0.3140143632868042
RTN3,Colon Tissue,0.0,0.31383342660646013
MICU1,Colon Tissue,0.0,0.3137980875512469
CNIH4,Colon Tissue,0.0,0.3135853713011558
DGKA,Colon Tissue,0.0,0.3135331711746005
CDA,Colon Tissue,0.0,0.31324792659876644
GNAS,Colon Tissue,0.0,0.31324602529103446
NDUFAB1,Colon Tissue,0.0,0.31296425104735004
GUCY2C,Colon Tissue,0.0,0.31291185430104024
TMEM14C,Colon Tissue,0.0,0.3125387127821499
SRXN1,Colon Tissue,0.0,0.3123910447705137
WDR1,Colon Tissue,0.0,0.31191214203367507
