umap_1,umap_2,cell_type,PICALM,CD2AP,ADAM10,CR1,APP,SORL1,PSEN1
-1.527355,1.8152269,enterocyte of epithelium of large intestine,1.0,0.0,0.0,0.0,1.0,0.0,0.0
14.390844,8.716649,enterocyte of epithelium of small intestine,2.0,2.0,0.0,0.0,2.0,2.0,1.0
2.707903,-3.98967,colon goblet cell,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-2.2640748,-1.180631,BEST4+ enterocyte,0.0,2.0,0.0,0.0,1.0,0.0,0.0
8.343694,-3.2568843,paneth cell of epithelium of small intestine,0.0,1.0,0.0,0.0,4.0,2.0,0.0
-1.7876626,12.266931,tuft cell of colon,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3.2676983,-5.5314593,colon goblet cell,0.0,7.0,4.0,0.0,3.0,2.0,2.0
8.074204,-5.0721493,small intestine goblet cell,1.0,1.0,0.0,0.0,0.0,1.0,0.0
10.205174,0.6719154,intestinal crypt stem cell of small intestine,0.0,0.0,2.0,0.0,4.0,1.0,0.0
-1.194771,12.037239,tuft cell of colon,0.0,0.0,0.0,0.0,11.0,0.0,0.0
3.880923,-3.193816,colon goblet cell,0.0,2.0,0.0,0.0,3.0,1.0,1.0
10.146413,9.30147,enterocyte of epithelium of small intestine,0.0,0.0,1.0,0.0,3.0,3.0,0.0
8.885456,12.660506,enterocyte of epithelium of small intestine,0.0,1.0,1.0,0.0,1.0,3.0,0.0
9.921484,2.479614,intestinal crypt stem cell of small intestine,1.0,0.0,0.0,0.0,7.0,1.0,0.0
-1.3786914,12.271108,tuft cell of colon,0.0,0.0,0.0,0.0,1.0,2.0,0.0
0.30752406,2.8829608,enterocyte of epithelium of large intestine,0.0,2.0,0.0,0.0,4.0,2.0,0.0
-1.1757905,-0.19055489,BEST4+ enterocyte,0.0,0.0,2.0,0.0,4.0,0.0,0.0
-1.9448715,3.1710882,enterocyte of epithelium of large intestine,1.0,0.0,1.0,0.0,3.0,1.0,0.0
9.662288,6.508445,enterocyte of epithelium of small intestine,1.0,1.0,0.0,0.0,0.0,0.0,0.0
10.322982,9.860202,enterocyte of epithelium of small intestine,0.0,1.0,1.0,0.0,1.0,1.0,0.0
0.17079216,3.9457905,transit amplifying cell of colon,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.337484,6.2447667,enterocyte of epithelium of small intestine,2.0,2.0,0.0,0.0,0.0,1.0,2.0
8.940727,8.483734,enterocyte of epithelium of small intestine,1.0,1.0,0.0,0.0,4.0,0.0,0.0
10.454776,7.9505167,enterocyte of epithelium of small intestine,2.0,1.0,0.0,0.0,1.0,2.0,1.0
-0.60056907,3.3163304,enterocyte of epithelium of large intestine,1.0,1.0,0.0,0.0,0.0,1.0,0.0
9.28513,4.474673,enterocyte of epithelium of small intestine,1.0,0.0,2.0,0.0,5.0,0.0,0.0
1.1915656,9.31403,enteroendocrine cell of colon,3.0,3.0,2.0,0.0,6.0,2.0,0.0
1.3646591,1.0517948,intestinal crypt stem cell of colon,0.0,1.0,3.0,0.0,4.0,0.0,0.0
8.2105,7.8920918,transit amplifying cell of colon,1.0,1.0,1.0,0.0,5.0,4.0,1.0
9.624791,3.986346,transit amplifying cell of small intestine,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10.919444,1.7759057,intestinal crypt stem cell of small intestine,2.0,0.0,0.0,0.0,0.0,1.0,0.0
14.32804,6.7770057,enterocyte of epithelium of small intestine,4.0,3.0,1.0,0.0,0.0,1.0,0.0
-2.1381335,11.836096,tuft cell of colon,0.0,1.0,1.0,0.0,4.0,0.0,0.0
9.31074,11.463895,enterocyte of epithelium of small intestine,0.0,2.0,1.0,0.0,0.0,2.0,1.0
-0.82559776,2.2632744,enterocyte of epithelium of large intestine,0.0,1.0,1.0,0.0,5.0,1.0,0.0
-1.292737,12.709203,tuft cell of colon,0.0,2.0,0.0,0.0,1.0,0.0,2.0
3.7849247,-3.3994915,colon goblet cell,0.0,4.0,0.0,0.0,1.0,1.0,0.0
10.6107,5.1205993,enterocyte of epithelium of small intestine,1.0,0.0,0.0,0.0,2.0,3.0,0.0
7.729403,3.9461193,transit amplifying cell of small intestine,0.0,1.0,2.0,0.0,2.0,1.0,0.0
2.0378864,-4.235225,colon goblet cell,3.0,1.0,2.0,0.0,7.0,0.0,1.0
